model,feature,importance,rank
random_forest,estimated_delivery_days,0.13987009818542753,1
random_forest,order_purchase_month,0.1018996805851323,2
random_forest,seller_customer_distance_km,0.10132717643124604,3
random_forest,approval_gap_hours,0.09170610410799694,4
random_forest,items_total_freight,0.08095166884832994,5
random_forest,payment_total_value,0.0763841056180419,6
random_forest,items_total_weight_g,0.07556936245717351,7
random_forest,items_total_price,0.073979125977011,8
random_forest,payment_value_credit_card,0.06093663791970469,9
random_forest,payment_max_installments,0.03419722674025177,10
random_forest,payment_value_boleto,0.020768278199652976,11
random_forest,customer_state_SP,0.012686934253992328,12
random_forest,customer_state_RJ,0.01141189618032764,13
random_forest,primary_seller_state_SP,0.00823959814810388,14
random_forest,items_num_items,0.008089695918274882,15
random_forest,customer_state_MG,0.007163914667848618,16
random_forest,payment_value_voucher,0.00516428800937675,17
random_forest,primary_seller_state_MG,0.00472753489389702,18
random_forest,customer_state_PR,0.00430831923965026,19
random_forest,primary_seller_state_PR,0.004252398272144745,20
random_forest,primary_seller_state_RJ,0.004094813168676672,21
random_forest,payment_has_credit_card,0.003964540377239531,22
random_forest,customer_state_BA,0.0035402679199634836,23
random_forest,customer_state_RS,0.003509017111866146,24
random_forest,payment_has_boleto,0.003468508323005799,25
random_forest,items_num_categories,0.003328582536040225,26
random_forest,customer_state_SC,0.0031848272199067706,27
random_forest,primary_seller_state_SC,0.002948487952608381,28
random_forest,items_num_products,0.0027698248172630465,29
random_forest,payment_value_debit_card,0.002689339753303383,30
random_forest,customer_state_ES,0.0026544173067087535,31
random_forest,payment_num_rows,0.002543508259014709,32
random_forest,customer_state_DF,0.0025023751252057206,33
random_forest,payment_has_voucher,0.0022670123085311066,34
random_forest,customer_state_GO,0.002169468376816408,35
random_forest,primary_seller_state_MA,0.0020267004867378174,36
random_forest,primary_seller_state_RS,0.0019893758196173356,37
random_forest,items_num_sellers,0.001986189395813803,38
random_forest,customer_state_CE,0.001954734918952804,39
random_forest,customer_state_PE,0.0019158030782090692,40
random_forest,customer_state_MA,0.0017016159694682753,41
random_forest,customer_state_AL,0.0016812257619274005,42
random_forest,items_multi_seller,0.001617633197550874,43
random_forest,payment_has_debit_card,0.0013728876438067238,44
random_forest,customer_state_MT,0.001364260974345862,45
random_forest,payment_num_types,0.0013514445357797878,46
random_forest,customer_state_PA,0.0012826180360785255,47
